c1|c2|res_in|res_calc|res_in_adj_std|res_calc_adj_std|res_in_rank|res_calc_rank|d_i|d_i2
pizza.MozzarellaTopping|pizza.Mild|0|0,125|0,0|-0,8506109957584675|3698,5|246,5|-3452,0|11916304,0
pizza.MozzarellaTopping|pizza.Soho|0|0,1667|0,0|-0,6161177391180243|3698,5|1821,5|-1877,0|3523129,0
pizza.MozzarellaTopping|pizza.ArtichokeTopping|0|0,25|0,0|-0,14769355978591542|3698,5|4567,5|869,0|755161,0
pizza.MozzarellaTopping|pizza.HerbSpiceTopping|0|0,3333|0,0|0,32073061954619325|3698,5|5730,5|2032,0|4129024,0
pizza.MozzarellaTopping|pizza.GreenPepperTopping|0|0,2|0,0|-0,42886053417493625|3698,5|3253,5|-445,0|198025,0
pizza.MozzarellaTopping|pizza.Pizza|0|0,25|0,0|-0,14769355978591542|3698,5|4567,5|869,0|755161,0
pizza.MozzarellaTopping|pizza.Food|0|0,3333|0,0|0,32073061954619325|3698,5|5730,5|2032,0|4129024,0
pizza.MozzarellaTopping|pizza.ChickenTopping|0|0,25|0,0|-0,14769355978591542|3698,5|4567,5|869,0|755161,0
pizza.MozzarellaTopping|pizza.Medium|0|0,125|0,0|-0,8506109957584675|3698,5|246,5|-3452,0|11916304,0
pizza.MozzarellaTopping|pizza.DeepPanBase|0|0,2|0,0|-0,42886053417493625|3698,5|3253,5|-445,0|198025,0
pizza.MozzarellaTopping|pizza.Caprina|0|0,1667|0,0|-0,6161177391180243|3698,5|1821,5|-1877,0|3523129,0
pizza.MozzarellaTopping|pizza.Margherita|0|0,1667|0,0|-0,6161177391180243|3698,5|1821,5|-1877,0|3523129,0
pizza.MozzarellaTopping|pizza.LeekTopping|0|0,25|0,0|-0,14769355978591542|3698,5|4567,5|869,0|755161,0
pizza.MozzarellaTopping|pizza.SlicedTomatoTopping|0|0,2|0,0|-0,42886053417493625|3698,5|3253,5|-445,0|198025,0
pizza.MozzarellaTopping|pizza.Giardiniera|0|0,1667|0,0|-0,6161177391180243|3698,5|1821,5|-1877,0|3523129,0
pizza.MozzarellaTopping|pizza.SundriedTomatoTopping|0|0,2|0,0|-0,42886053417493625|3698,5|3253,5|-445,0|198025,0
pizza.MozzarellaTopping|pizza.ParmaHamTopping|0|0,2|0,0|-0,42886053417493625|3698,5|3253,5|-445,0|198025,0
pizza.MozzarellaTopping|pizza.Parmense|0|0,1667|0,0|-0,6161177391180243|3698,5|1821,5|-1877,0|3523129,0
pizza.MozzarellaTopping|pizza.PrinceCarlo|0|0,1667|0,0|-0,6161177391180243|3698,5|1821,5|-1877,0|3523129,0
pizza.MozzarellaTopping|pizza.AmericanHot|0|0,1667|0,0|-0,6161177391180243|3698,5|1821,5|-1877,0|3523129,0
pizza.MozzarellaTopping|pizza.MeatTopping|0|0,3333|0,0|0,32073061954619325|3698,5|5730,5|2032,0|4129024,0
pizza.MozzarellaTopping|pizza.FishTopping|0|0,3333|0,0|0,32073061954619325|3698,5|5730,5|2032,0|4129024,0
pizza.MozzarellaTopping|pizza.PepperTopping|0|0,25|0,0|-0,14769355978591542|3698,5|4567,5|869,0|755161,0
pizza.MozzarellaTopping|pizza.Cajun|0|0,1667|0,0|-0,6161177391180243|3698,5|1821,5|-1877,0|3523129,0
pizza.MozzarellaTopping|pizza.NutTopping|0|0,3333|0,0|0,32073061954619325|3698,5|5730,5|2032,0|4129024,0
pizza.MozzarellaTopping|pizza.FruitTopping|0|0,3333|0,0|0,32073061954619325|3698,5|5730,5|2032,0|4129024,0
pizza.MozzarellaTopping|pizza.FruttiDiMare|0|0,1667|0,0|-0,6161177391180243|3698,5|1821,5|-1877,0|3523129,0
pizza.MozzarellaTopping|pizza.PineKernels|0|0,25|0,0|-0,14769355978591542|3698,5|4567,5|869,0|755161,0
pizza.MozzarellaTopping|pizza.AnchoviesTopping|0|0,25|0,0|-0,14769355978591542|3698,5|4567,5|869,0|755161,0
pizza.MozzarellaTopping|pizza.PeperoniSausageTopping|0|0,25|0,0|-0,14769355978591542|3698,5|4567,5|869,0|755161,0
pizza.MozzarellaTopping|pizza.JalapenoPepperTopping|0|0,2|0,0|-0,42886053417493625|3698,5|3253,5|-445,0|198025,0
pizza.MozzarellaTopping|pizza.NamedPizza|0|0,2|0,0|-0,42886053417493625|3698,5|3253,5|-445,0|198025,0
pizza.MozzarellaTopping|pizza.PolloAdAstra|0|0,1667|0,0|-0,6161177391180243|3698,5|1821,5|-1877,0|3523129,0
pizza.MozzarellaTopping|pizza.HotGreenPepperTopping|0|0,1667|0,0|-0,6161177391180243|3698,5|1821,5|-1877,0|3523129,0
pizza.MozzarellaTopping|pizza.RedOnionTopping|0|0,2|0,0|-0,42886053417493625|3698,5|3253,5|-445,0|198025,0
pizza.MozzarellaTopping|pizza.Napoletana|0|0,1667|0,0|-0,6161177391180243|3698,5|1821,5|-1877,0|3523129,0
pizza.MozzarellaTopping|pizza.ThinAndCrispyBase|0|0,2|0,0|-0,42886053417493625|3698,5|3253,5|-445,0|198025,0
pizza.MozzarellaTopping|pizza.IceCream|0|0,25|0,0|-0,14769355978591542|3698,5|4567,5|869,0|755161,0
pizza.MozzarellaTopping|pizza.American|0|0,1667|0,0|-0,6161177391180243|3698,5|1821,5|-1877,0|3523129,0
pizza.MozzarellaTopping|pizza.FourCheesesTopping|0|0,5|0,0|1,258141312159189|3698,5|6661,5|2963,0|8779369,0
pizza.MozzarellaTopping|pizza.UnclosedPizza|0|0,2|0,0|-0,42886053417493625|3698,5|3253,5|-445,0|198025,0
pizza.MozzarellaTopping|pizza.GoatsCheeseTopping|0|0,5|0,0|1,258141312159189|3698,5|6661,5|2963,0|8779369,0
pizza.MozzarellaTopping|pizza.MixedSeafoodTopping|0|0,25|0,0|-0,14769355978591542|3698,5|4567,5|869,0|755161,0
pizza.MozzarellaTopping|pizza.CajunSpiceTopping|0|0,25|0,0|-0,14769355978591542|3698,5|4567,5|869,0|755161,0
pizza.MozzarellaTopping|pizza.ValuePartition|0|0,1667|0,0|-0,6161177391180243|3698,5|1821,5|-1877,0|3523129,0
pizza.MozzarellaTopping|pizza.PetitPoisTopping|0|0,25|0,0|-0,14769355978591542|3698,5|4567,5|869,0|755161,0
pizza.MozzarellaTopping|pizza.Rosa|0|0,1667|0,0|-0,6161177391180243|3698,5|1821,5|-1877,0|3523129,0
pizza.MozzarellaTopping|pizza.HamTopping|0|0,25|0,0|-0,14769355978591542|3698,5|4567,5|869,0|755161,0
